,index,score_df1,claim_name,ncbi_gene_id_df1,ncbi_gene_id_df2,score_df2,score_ratio
2953,4707,0.0001675743611227,SPARC,6678,6678,0.0001659970988172,1.0095017462156788
3144,4212,0.0001675743611227,SLC39A6,25800,25800,0.0001659973031857,1.009500503362008
3901,3298,0.0001675743611227,CEACAM6,4680,4680,0.0001660071339345,1.0094407219199288
2662,3638,0.0001675743611227,CUBN,8029,8029,0.0001660071339345,1.0094407219199288
4080,3476,0.0001675743611227,POSTN,10631,10631,0.0001660071339345,1.0094407219199288
2388,3935,0.0001675743611227,CST4,1472,1472,0.0001660071339345,1.0094407219199288
2413,4023,0.0001675743611227,YY1,7528,7528,0.0001660071339345,1.0094407219199288
4074,3471,0.0001675743611227,CCL28,56477,56477,0.0001660071339345,1.0094407219199288
2770,3727,0.0001675743611227,IGFBP6,3489,3489,0.0001660071339345,1.0094407219199288
2306,3958,0.0001675743611227,NR6A1,2649,2649,0.0001660071339345,1.0094407219199288
2772,3729,0.0001675743611227,IL9R,3581,3581,0.0001660094248578,1.0094267916790898
2365,3892,0.0001675743611227,SACM1L,22908,22908,0.0001660128125243,1.0094061932609655
2702,3806,0.0001675743611227,NUP50,10762,10762,0.0001660280977852,1.0093132629845611
2356,3903,0.0001675743611227,MEGF6,1953,1953,0.0001660338277575,1.0092784307029892
2967,4759,0.0001675743611227,HOXB2,3212,3212,0.0001660398223678,1.009241992270389
2959,4712,0.0001675743611227,EDN3,1908,1908,0.0001660438531299,1.0092174926319173
2339,3995,0.0001675743611227,CDH12,1010,1010,0.0001660459396768,1.009204810722111
3881,3407,0.0001675743611227,RRP1B,23076,23076,0.0001660484406861,1.0091896101540914
2944,4716,0.0001675743611227,STN1,79991,79991,0.0001660484406861,1.0091896101540914
2976,4771,0.0001675743611227,PROX1,5629,5629,0.0001660484406861,1.0091896101540914
2962,4735,0.0001675743611227,ARAP1,116985,116985,0.0001660484406861,1.0091896101540914
3032,4679,0.0001675743611227,TBX2,6909,6909,0.0001660484406861,1.0091896101540914
1222,1839,0.0001675743611227,PRLR,5618,5618,0.0001660528770204,1.0091626482455531
2533,4093,0.0001675743611227,AIFM2,84883,84883,0.0001660541612404,1.009154843642245
3234,4351,0.0001675743611227,TUBB8B,260334,260334,0.00016605553695,1.0091464831621804
3269,4378,0.0001675743611227,STEAP1,26872,26872,0.0001660555915541,1.0091461513243003
2341,3996,0.0001675743611227,FKBP1B,2281,2281,0.0001660565115226,1.0091405605608752
3998,3567,0.0001675743611227,EVPL,2125,2125,0.0001660565115226,1.0091405605608752
3287,3574,0.0001675743611227,FCGR1BP,2210,2210,0.0001660565115226,1.0091405605608752
2597,3703,0.0001675743611227,ETV2,2116,2116,0.0001660565115226,1.0091405605608752
2408,3923,0.0001675743611227,SRR,63826,63826,0.0001660579511655,1.009131811795562
4042,3432,0.0001675743611227,SLC2A2,6514,6514,0.0001660579511655,1.009131811795562
2543,4067,0.0001675743611227,SLC19A3,80704,80704,0.0001660579511655,1.009131811795562
2305,3964,0.0001675743611227,PRPF31,26121,26121,0.0001660579511655,1.009131811795562
2509,4032,0.0001675743611227,CPA6,57094,57094,0.0001660579511655,1.009131811795562
2649,3586,0.0001675743611227,PVALB,5816,5816,0.0001660608852085,1.0091139819729356
1234,1846,0.0001675743611227,REG3A,5068,5068,0.0001660608852085,1.0091139819729356
4036,3442,0.0001675743611227,DEFA5,1670,1670,0.0001660608852085,1.0091139819729356
2871,4547,0.0001675743611227,EPHA4,2043,2043,0.0001660616303243,1.00910945409512
2872,4546,0.0001675743611227,EPHB6,2051,2051,0.0001660616303243,1.00910945409512
3210,4435,0.0001675743611227,EPHA10,284656,284656,0.0001660616303243,1.00910945409512
2876,4495,0.0001675743611227,SERINC5,256987,256987,0.0001660620495639,1.009106906501344
2700,3803,0.0001675743611227,ACOT7,11332,11332,0.0001660657767333,1.0090842581721264
2701,3804,0.0001675743611227,LHX2,9355,9355,0.0001660657767333,1.0090842581721264
3948,3317,0.0001675743611227,TRDN,10345,10345,0.0001660657767333,1.0090842581721264
2309,3961,0.0001675743611227,ST13,6767,6767,0.0001660657767333,1.0090842581721264
2766,3730,0.0001675743611227,LHFPL3,375612,375612,0.0001660657767333,1.0090842581721264
4207,3024,0.0001675743611227,KCNN1,3780,3780,0.0001660657767333,1.0090842581721264
3873,3415,0.0001675743611227,ANKRD30B,374860,374860,0.0001660657767333,1.0090842581721264
2572,3653,0.0001675743611227,APOBEC3B,9582,9582,0.0001660657767333,1.0090842581721264
2889,4476,0.0001675743611227,GNL1,2794,2794,0.0001660667668375,1.0090782419258828
2989,4748,0.0001675743611227,MAZ,4150,4150,0.0001660675356056,1.0090735706506695
4196,3041,0.0001675743611227,GADD45G,10912,10912,0.0001660783685765,1.009007750732516
2612,3697,0.0001675743611227,DDX12P,440081,440081,0.0001660894799445,1.0089402482246086
3973,3507,0.0001675743611227,NIPAL2,79815,79815,0.0001660894799445,1.0089402482246086
2583,3721,0.0001675743611227,SPECC1L-ADORA2A,101730217,101730217,0.0001660933689735,1.0089166241756242
2703,3808,0.0001675743611227,MVK,4598,4598,0.0001660999447374,1.008876681973802
2768,3725,0.0001675743611227,HOXA9,3205,3205,0.0001661068370769,1.0088348202375355
2758,3751,0.0001675743611227,CRABP1,1381,1381,0.000166123993147,1.0087306351612713
2813,3573,0.0001675743611227,CRYBB2P1,1416,1416,0.0001661239936592,1.0087306320511136
3822,2545,0.0001675743611227,CTTN,2017,2017,0.0001661241467343,1.0087297025562423
618,1401,0.0001675743611227,P2RY1,5028,5028,0.0001661241662286,1.008729584184064
2386,3933,0.0001675743611227,ADAR,103,103,0.0001661242303382,1.0087291949015973
2063,826,0.0001675743611227,DEFB4A,1673,1673,0.0001661244752654,1.0087277076721155
4333,3176,0.0001675743611227,INHBA,3624,3624,0.0001661245114353,1.008727488044199
4092,3071,0.0001675743611227,P2RY4,5030,5030,0.0001661245477946,1.00872726726632
3385,2674,0.0001675743611227,CYP4A11,1579,1579,0.0001661246646809,1.0087265575198279
3558,2864,0.0001675743611227,DNA2,1763,1763,0.000166124664759,1.0087265570455966
3109,4195,0.0001675743611227,ADAM8,101,101,0.0001661246647899,1.0087265568579684
3118,4204,0.0001675743611227,DMWD,1762,1762,0.0001661246648726,1.0087265563558052
3863,3388,0.0001675743611227,GRK6P1,2871,2871,0.0001661246648729,1.0087265563539836
2488,4045,0.0001675743611227,TSLP,85480,85480,0.0001661246648729,1.0087265563539836
3849,3369,0.0001675743611227,GSS,2937,2937,0.0001661246648729,1.0087265563539836
441,1561,0.0001675743611227,TNFSF12,8742,8742,0.0001661246648729,1.0087265563539836
1847,1041,0.0001675743611227,TNNI2,7136,7136,0.0001661246648729,1.0087265563539836
4187,3031,0.0001675743611227,CREBL2,1389,1389,0.0001661246648729,1.0087265563539836
3549,2854,0.0001675743611227,GALNT3,2591,2591,0.0001661246648729,1.0087265563539836
2732,3845,0.0001675743611227,CEBPB,1051,1051,0.0001661246648729,1.0087265563539836
4012,3552,0.0001675743611227,DAXX,1616,1616,0.0001661246648729,1.0087265563539836
1849,1038,0.0001675743611227,TNNC2,7125,7125,0.0001661246648729,1.0087265563539836
3394,2695,0.0001675743611227,HLCS,3141,3141,0.0001661246648729,1.0087265563539836
3695,2500,0.0001675743611227,ACTG1P1,73,73,0.0001661246648729,1.0087265563539836
3532,2871,0.0001675743611227,HBG2,3048,3048,0.0001661246648729,1.0087265563539836
4022,3448,0.0001675743611227,TNFSF4,7292,7292,0.0001661246648729,1.0087265563539836
1077,1796,0.0001675743611227,GHRHR,2692,2692,0.0001661246648729,1.0087265563539836
2893,4481,0.0001675743611227,HOXA11,3207,3207,0.0001661246648729,1.0087265563539836
364,1621,0.0001675743611227,PNP,4860,4860,0.0001661246648729,1.0087265563539836
2711,3835,0.0001675743611227,MNX1,3110,3110,0.0001661246648729,1.0087265563539836
2314,3987,0.0001675743611227,GUCA1A,2978,2978,0.0001661246648729,1.0087265563539836
3726,2588,0.0001675743611227,HNRNPA2B1,3181,3181,0.0001661246648729,1.0087265563539836
1233,1821,0.0001675743611227,TNFRSF18,8784,8784,0.0001661246648729,1.0087265563539836
3068,4320,0.0001675743611227,EGR1,1958,1958,0.0001661246648729,1.0087265563539836
4197,3027,0.0001675743611227,MAG,4099,4099,0.0001661246648729,1.0087265563539836
3314,2739,0.0001675743611227,HOXD13,3239,3239,0.0001661246648729,1.0087265563539836
2577,3658,0.0001675743611227,AGXT,189,189,0.0001661246648729,1.0087265563539836
2842,4607,0.0001675743611227,TNNT3,7140,7140,0.0001661246648729,1.0087265563539836
2741,3848,0.0001675743611227,GK2,2712,2712,0.0001661246648729,1.0087265563539836
2337,3992,0.0001675743611227,GYS2,2998,2998,0.0001661246648729,1.0087265563539836
4230,3231,0.0001675743611227,SF3B3,23450,23450,0.0001661246648729,1.0087265563539836
1202,1907,0.0001675743611227,SLC9A1,6548,6548,0.0001661246648729,1.0087265563539836
3005,4653,0.0001675743611227,RNASEL,6041,6041,0.0001661246648729,1.0087265563539836
2402,3914,0.0001675743611227,GRB7,2886,2886,0.0001661246648729,1.0087265563539836
2630,3604,0.0001675743611227,EMX2,2018,2018,0.0001661246648729,1.0087265563539836
