ncbi_gene_id,partition_number,claim_name
5444,14,PON1
4214,14,MAP3K1
1445,14,CSK
7434,14,VIPR2
2674,14,GFRA1
23586,14,RIGI
6339,14,SCNN1D
5009,14,OTC
4100,14,MAGEA1
6446,14,SGK1
497258,14,BDNF-AS
5657,14,PRTN3
2696,14,GIPR
1270,14,CNTF
11252,14,PACSIN2
3416,14,IDE
22861,14,NLRP1
2990,14,GUSB
7874,14,USP7
388524,14,RPSA2
7316,14,UBC
28639,14,TRBC1
925,14,CD8A
6997,14,CRIPTO
7031,14,TFF1
11054,14,OGFR
2488,14,FSHB
5753,14,PTK6
5209,14,PFKFB3
10887,14,PROKR1
6004,14,RGS16
3897,14,L1CAM
7048,14,TGFBR2
7412,14,VCAM1
3482,14,IGF2R
51320,14,MEX3C
55016,14,MARCHF1
27303,14,RBMS3
4319,14,MMP10
9365,14,KL
100048912,14,CDKN2B-AS1
3490,14,IGFBP7
1760,14,DMPK
10990,14,LILRB5
163227,14,ZNF100
54715,14,RBFOX1
7361,14,UGT1A
25817,14,TAFA5
4548,14,MTR
79783,14,SUGCT
116379,14,IL22RA2
1185,14,CLCN6
6272,14,SORT1
6507,14,SLC1A3
6275,14,S100A4
5313,14,PKLR
115650,14,TNFRSF13C
3291,14,HSD11B2
25825,14,BACE2
10507,14,SEMA4D
8797,14,TNFRSF10A
283120,14,H19
6232,14,RPS27
6196,14,RPS6KA2
6285,14,S100B
10858,14,CYP46A1
284654,14,RSPO1
2232,14,FDXR
160364,14,CLEC12A
5476,14,CTSA
5025,14,P2RX4
2925,14,GRPR
11009,14,IL24
1491,14,CTH
9507,14,ADAMTS4
4161,14,MC5R
1595,14,CYP51A1
5697,14,PYY
51162,14,EGFL7
4111,14,MAGEA12
6425,14,SFRP5
6374,14,CXCL5
6720,14,SREBF1
1952,14,CELSR2
2949,14,GSTM5
1635,14,DCTD
221322,14,TBC1D32
80034,14,CSRNP3
3704,14,ITPA
55779,14,CFAP44
114548,14,NLRP3
2161,14,F12
3578,14,IL9
6564,14,SLC15A1
3604,14,TNFRSF9
4919,14,ROR1
57817,14,HAMP
3595,14,IL12RB2
85413,14,SLC22A16
2120,14,ETV6
1789,14,DNMT3B
1043,14,CD52
282618,14,IFNL1
343450,14,KCNT2
1000,14,CDH2
51347,14,TAOK3
10413,14,YAP1
487,14,ATP2A1
1550,14,CYP2A7P1
51741,14,WWOX
4625,14,MYH7
5297,14,PI4KA
7249,14,TSC2
1647,14,GADD45A
671,14,BPI
5550,14,PREP
2867,14,FFAR2
10461,14,MERTK
60490,14,PPCDC
6402,14,SELL
6775,14,STAT4
7049,14,TGFBR3
1271,14,CNTFR
152831,14,KLB
3442,14,IFNA5
23643,14,LY96
8854,14,ALDH1A2
728734,14,NPIPB8
823,14,CAPN1
599,14,BCL2L2
4012,14,LNPEP
2899,14,GRIK3
