multiplex	node	score
1	2742	2.1658197289980687e-05
1	1066	2.1655207883884137e-05
1	2597	2.1590680836217805e-05
1	482	2.1561463999640524e-05
1	5788	2.1553486440276245e-05
1	2065	2.15227681024902e-05
1	23476	2.1504481360745198e-05
1	3667	2.1478353100283953e-05
1	7366	2.1404319984664542e-05
1	3107	2.140204371163964e-05
1	2729	2.1358380964433632e-05
1	2730	2.1355061393724704e-05
1	6340	2.1324184324882876e-05
1	6580	2.1321711203440065e-05
1	10728	2.1315407332081322e-05
1	328	2.131179692001449e-05
1	9498	2.1220790704284773e-05
1	246	2.1219591189035224e-05
1	1020	2.1204073803991305e-05
1	483	2.118375867622196e-05
1	2100	2.1181418939924658e-05
1	5300	2.1154717938310965e-05
1	1436	2.106402711706949e-05
1	3600	2.097839138037968e-05
1	11200	2.0935787019388213e-05
1	5581	2.0896927696729448e-05
1	3756	2.0758140310628168e-05
1	5578	2.073469926559864e-05
1	3589	2.0690312685681397e-05
1	1496	2.0596736643730333e-05
1	3315	2.05744638517311e-05
1	5156	2.0543906878890563e-05
1	6337	2.0168000643834274e-05
1	216	2.0141480562197257e-05
1	5601	2.013656022909139e-05
1	60489	2.011547253850367e-05
1	7341	2.0035826582032015e-05
1	1586	2.003289139177343e-05
1	3745	1.9882046449462688e-05
1	3742	1.9826163739286296e-05
1	2327	1.9815968871087233e-05
1	1562	1.9794029043145236e-05
1	86	1.976744491237608e-05
1	655	1.9756458281350563e-05
1	5894	1.9746397427112657e-05
1	4318	1.9738846590267734e-05
1	3949	1.97283407054723e-05
1	6348	1.9668833820685514e-05
1	2572	1.966706288749344e-05
1	6934	1.9619571066835895e-05
1	3751	1.9606096223922336e-05
1	6352	1.9576093408631382e-05
1	3737	1.9550203957941713e-05
1	115	1.9530912882910606e-05
1	25865	1.9452375363777556e-05
1	6338	1.939661632220069e-05
1	2876	1.9385554421359437e-05
1	4193	1.9359962261759514e-05
1	9370	1.9298485647705048e-05
1	5159	1.927481325450006e-05
1	64127	1.9251623901157668e-05
1	387	1.9233724296279854e-05
1	3739	1.9157895603738425e-05
1	779	1.915497582302454e-05
1	3786	1.9122492125161776e-05
